466, output4.c, 7008, scan_entries
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
430, output4.c, 6701, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
430, output4.c, 6701, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
430, output4.c, 6701, print_entry
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
430, output4.c, 6701, print_entry
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
430, output4.c, 6701, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
430, output4.c, 6701, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
430, output4.c, 6701, print_entry
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
426, output4.c, 6648, print_entry
427, output4.c, 6662, print_entry
430, output4.c, 6701, print_entry
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
396, output4.c, 6454, count_ampersands
398, output4.c, 6462, count_ampersands
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
406, output4.c, 6527, create_fullname
407, output4.c, 6537, create_fullname
409, output4.c, 6547, create_fullname
431, output4.c, 6719, print_entry
432, output4.c, 6724, print_entry
433, output4.c, 6738, print_entry
435, output4.c, 6747, print_entry
422, output4.c, 6609, time_string
437, output4.c, 6781, print_entry
438, output4.c, 6792, print_entry
440, output4.c, 6805, print_entry
442, output4.c, 6819, print_entry
444, output4.c, 6827, print_entry
470, output4.c, 7053, scan_entries
471, output4.c, 7058, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
472, output4.c, 7064, scan_entries
474, output4.c, 7069, scan_entries
478, output4.c, 7095, short_pinky
495, output4.c, 7328, main
